commit	val_bpb	memory_gb	status	description
ef55011	1.097709	7.2	discard	EMBEDDING_LR=0.5 (0.45 better)
7152db7	1.098245	7.2	discard	UNEMBEDDING_LR=0.009 (0.008 still optimal)
2f7a943	1.097664	7.2	discard	FINAL_LR_FRAC=0.01 (0.02 better)
64e67d1	1.106285	7.2	discard	SiLU activation (relu_squared much better)
a04ae8c	1.097745	7.2	discard	ADAM_BETAS=(0.45,0.95) (0.5 still optimal)
6be7151	1.097717	7.0	discard	MLP 3.25x (3.5x better)
eb4770c	1.097178	7.2	keep	embedding init std=0.6 (improvement!)
6125489	1.097956	7.2	discard	embedding init std=0.5 (0.6 better)
0a59717	1.097461	7.2	discard	embedding init std=0.65 (0.6 better)
4c6d5f1	1.096956	7.2	keep	scale MLP output by 0.5 (improvement!)
5580dbf	1.097927	7.2	discard	scale both attn+MLP by 0.5 (only MLP helps)
08d2f72	1.097462	7.2	discard	MLP output scale=0.3 (0.5 better)
69c22c9	1.096899	7.2	keep	MLP output scale=0.7 (improvement!)
88b0c6a	1.097164	7.2	discard	MLP output scale=0.8 (0.7 better)
7023de1	1.096947	7.2	discard	MLP output scale=0.6 (0.7 better)
502da5f	1.096883	7.2	keep	lm_head WD=0.001 (improvement!)
46c9356	1.096947	7.2	discard	lm_head WD=0.002 (0.001 better)
e4e1865	1.097307	7.2	discard	softcap=10 re-test (11 still optimal)
56a1b3f	1.096914	7.2	discard	x0_lambdas init=0.12 (0.1 better)
b806200	1.097130	7.2	discard	UNEMBEDDING_LR=0.007 (0.008 still optimal)
d83c8fe	1.105806	7.2	discard	no softcap (softcap is critical)
6f497f2	1.096907	7.2	discard	momentum warmup 0.75->0.90/300 (original better)
e908c6d	1.112509	4.7	discard	DEPTH=4 (too few params)
b0b5679	1.100934	6.6	discard	GQA kv_heads=2 (less capacity)
ad75a07	1.099534	7.2	discard	uniform init for wte (normal better)
14a5c3a	1.099062	7.2	discard	seed=1337 (seed=42 luckier)
29a84eb	1.096577	7.2	keep	resid_params WD=0.01 (improvement!)
4d9e51c	1.096242	7.2	keep	resid_params WD=0.02 (improvement!)
7be44d8	1.096263	7.2	discard	resid_params WD=0.04 (0.02 slightly better)
f991b74	1.096565	7.2	discard	resid_params WD=0.03 (0.02 better)
e226343	1.096491	7.2	discard	x0_params WD=0.02 (0 better)
5f81752	1.096256	7.2	discard	MATRIX_LR=0.058 (0.055 still optimal)
2d9f707	1.096935	7.2	discard	MATRIX_LR=0.052 (0.055 still optimal)
8370de8	1.097069	7.2	discard	WEIGHT_DECAY=0.07 (0.08 still optimal)
bfa8de5	1.098572	7.2	discard	UNEMBEDDING_LR=0.01 (0.008 still optimal)
b85a919	1.097473	7.2	discard	resid_lambdas init=0.85 (0.90 still better)
96b2c73	1.097065	7.2	discard	resid_lambdas init=0.95 (0.90 still better)
33b4d10	1.099377	7.2	discard	WARMUP_RATIO=0.02 (warmup hurts with full warmdown)
a992445	1.097514	7.2	discard	VE gate channels=64 (32 still better)
f30b20c	1.164470	7.3	discard	TOTAL_BATCH_SIZE=2**17 (too few steps)
53376c2	1.111224	8.8	discard	ASPECT_RATIO=103 (640 dim too big, 1047 steps)
04ed164	1.097365	7.0	discard	MLP 3.25x expansion (3.5x still better)
91d0fe6	1.103447	7.4	discard	gated MLP (relu_sq*sigmoid gate 2.5x, worse)
1beb1d4	1.097409	7.2	discard	softcap=10.5 (11 still optimal)
33643e8	1.097407	7.2	discard	softcap=11.5 (11 still optimal)
31147b8	1.097269	7.2	discard	attn output scale=0.9 (no attn scaling better)
3a6b3cf	1.097081	7.2	discard	Muon momentum 0.80->0.92 (0.90 still better)
e2091da	1.096569	7.2	discard	VE WD=0.008 (0.004 still better)
b793e4c	1.096584	7.2	discard	VE WD=0.006 (0.004 still better)
031030c	1.097376	7.2	discard	embedding WD=0.006 (0.004 still better)
449dc9c	1.099452	7.2	discard	cosine LR warmdown (linear still better)
8029f87	1.097061	7.2	discard	VE LR=1.5x embedding LR (1x better)
d94e3b4	1.100321	7.2	discard	SSSL window (2 full attn layers, slower)
e8b7bbe	1.099516	7.2	discard	short_window=seq/4 (slower, seq/8 better)
f2a581f	1.098606	7.2	discard	constant WD (linear decay better)
be9431d	1.098804	7.2	discard	standard WD in Muon (cautious WD better)
8cd83bc	1.097179	7.2	discard	MLP output scale=0.65 (0.7 still optimal)
2fe9545	1.147380	7.2	discard	MLP output scale=0.75 (much worse, possibly diverged)
5f245cb	1.203348	7.5	discard	RMSNorm on values (destroys info)
74b508e	0.000000	0.0	crash	HEAD_DIM=256 (FA3 doesnt support head_dim>256)
f6679f7	1.211099	6.5	discard	HEAD_DIM=64 (model_dim=448, too small)
3607ed5	1.204680	7.2	discard	x0_params betas=(0.5,0.95) (0.9,0.95 much better)
257b56c	1.202934	7.2	discard	x0_params LR=0.5 (LR=1.0 much better)
8219d80	1.203502	7.2	discard	rotary base=45000 (only 472 steps, recompile?)
# PAUSED: GPU contention from zzho680 processes (3 shards) + VLLM on GPU2. Experiments unreliable (~472 steps vs ~1504 normally).
# RESUMED: GPU 0 free again. Experiments reliable.
4b607ae	1.097440	7.2	discard	MLP scale=0.75 retest (0.7 still better)
6b806c6	1.097650	7.2	discard	disable dmodel_lr_scale (scaling helps)
7fca1ae	1.097749	7.2	discard	dmodel_lr_scale^-0.75 (-0.5 better)
8528a5f	1.096925	7.2	discard	PE norm factor=1.03 (1.02 still better)
a64354a	1.107146	7.1	discard	VE last 2 layers only (alternating much better)
d433612	1.100653	7.2	discard	partial RoPE (full RoPE better)
399c158	1.097594	7.2	discard	Muon momentum init=0.85 (0.80 better)
f53de49	1.097058	7.2	discard	scaled-down QK init 0.7x (standard better)
8ada8bc	1.097247	7.2	discard	ADAM_BETAS=(0.55,0.95) ((0.5,0.95) still better)
cd6135f	1.097454	7.2	discard	ADAM_BETAS=(0.5,0.99) (0.95 still better)
217b887	1.102043	7.2	discard	seed=7 (seed=42 still luckiest)
680d631	1.097209	7.2	discard	lm_head WD=0.0015 (0.001 still better)
a4023d1	1.097191	7.2	discard	FINAL_LR_FRAC=0.03 (0.02 still better)
432ad80	1.097205	7.2	discard	FINAL_LR_FRAC=0.015 (0.02 still optimal)
752971b	1.097579	7.2	discard	smaller MLP up-proj init (standard better)
ea3abe0	1.097083	8.1	discard	max-autotune compile (longer compile, no gain)
9919468	1.096999	7.2	discard	reduce-overhead compile (marginal, default better)
3ca2084	1.111501	7.2	discard	GELU activation (relu_squared much better)
1c3708e	1.097218	7.2	discard	decay AdamW WD (fixed WD better)
64fd3d0	0.000000	0.0	crash	softplus VE gate (dtype mismatch)
7082897	1.178326	3.9	discard	DEVICE_BATCH_SIZE=16 (grad accum overhead, fewer steps)
3473c3b	1.097087	7.2	discard	EMBEDDING_LR=0.48 (0.45 still optimal)
c4ed476	1.097925	7.2	discard	resid_params LR=0.004 (0.005 still optimal)
93e33d8	1.098964	7.5	discard	post-attention per-head norm (hurts)
30c37ca	1.097263	7.2	discard	fullgraph compile (marginal speedup, no val gain)
b8d5a0c	1.098051	7.2	discard	scalar VE gate (per-head gating better)
da69ac6	1.097328	7.2	discard	VE init 1.5x larger (standard better)
aa7f272	1.101251	7.0	discard	shared VE embedding (separate VEs better)
f75980e	1.098325	7.2	discard	VE mixed into keys (values only better)
cb0955b	1.097565	7.2	discard	momentum warmup 100 steps (200 better)
ea3f35c	1.097177	7.2	discard	resid_params WD=0.025 (0.02 still optimal)
31c2353	1.097608	7.2	discard	VE LR=0.7x embedding LR (1x better)
b6cfe8a	1.110251	7.5	discard	post-MLP RMSNorm (hurts significantly)
aede4d5	1.097064	7.2	discard	MATRIX_LR=0.056 (0.055 still optimal)
63dcdf5	1.097107	7.2	discard	MATRIX_LR=0.054 (0.055 still optimal)
22e5afe	1.101720	8.4	discard	DEPTH=6 ASPECT_RATIO=72 (more depth same width; fewer steps hurt)
0269283	1.105355	6.0	discard	DEPTH=4 ASPECT_RATIO=110 (too shallow despite more steps)
5f305fd	1.101382	6.6	discard	GQA n_kv_head=2 (fewer KV heads hurt quality)
297ebd8	1.112924	6.6	discard	remove QK norm (much worse, norm essential)
e7646a5	1.101568	7.4	discard	SwiGLU MLP 2.5x hidden (more params but slower, relu_sq better)
471610a	3.215848	7.2	discard	weight tying (catastrophic, shared init/LR broke unembedding)
5b204f0	1.099067	7.5	discard	MLP expansion 4x (more capacity but fewer steps)
31ba4e8	1.099462	7.2	discard	Muon ns_steps=4 (less accurate ortho hurts)
b678aac	1.098170	7.2	discard	Muon beta2=0.999 temporal smoothing (no help)
5681e50	1.113452	6.9	discard	no value embeddings (VE critical for quality)
68aa04f	1.116231	6.6	discard	parallel attn+MLP PaLM-style (MLP needs attn output)
0b581e9	1.278383	9.2	discard	label smoothing 0.05 (hurts BPB metric directly)
5e0ecab	1.098178	7.2	discard	z-loss 1e-4 (extra compute no help)
da75beb	1.104404	3.8	discard	half batch 2^15 (more steps but fewer tokens, noisier)
36f924d	1.099789	7.4	discard	VE every layer (too many params, alternating better)
926ce55	1.097733	7.2	discard	emb init std=0.5 (0.6 still better)
847918b	1.098241	7.2	discard	rotary base=10000 (50000 better)
e8e23d4	1.106379	7.2	discard	no softcap (logit capping important)
969d0f1	1.097330	7.2	discard	grad clip max_norm=1.0 (too aggressive)
05d43ae	1.097422	7.2	discard	grad clip max_norm=5.0 (overhead not worth it)
1a567fd	1.104471	7.2	discard	sqrt warmdown (linear decay better)
2d66cef	1.104387	7.2	discard	quadratic warmdown (linear still optimal)
05cea62	1.102777	7.2	discard	8 heads at dim 64 (128-dim heads better)
e381a3e	1.113786	8.0	discard	640-dim MLP 2.5x (way too slow, 1152 steps)
236c950	0.000000	0.0	crash	stochastic depth (torch.rand breaks compile)
a93811d	1.127122	7.2	discard	Muon for lm_head (AdamW much better for output)
60cc096	1.098003	7.2	discard	softcap=14 (11 still optimal)
8a6ebc0	1.097844	7.2	discard	x0_lambdas init=0.15 (0.1 still better)
7c504d6	1.097229	7.2	discard	WEIGHT_DECAY=0.09 (0.08 still optimal)
3cfb434	1.101387	7.2	discard	lm_head init std=0.002 (0.001 still optimal)
e11b4b7	1.097857	7.2	discard	EMBEDDING_LR=0.4 (0.45 still optimal)
baca6ff	1.097133	7.2	discard	Muon momentum warmup 300 steps (200 still optimal)
9c1718d	1.097432	7.2	discard	UNEMBEDDING_LR=0.006 (0.008 still optimal)
55cac1d	1.097600	7.2	discard	DeepNet alpha scaling (too aggressive for 5 layers)
371c2a0	1.096524	7.2	discard	Adam beta1=0.45 (very close but not improvement)
8050f4b	1.096675	7.2	discard	Adam beta1=0.4 (0.45 was better)
8f6cab0	1.096342	7.2	discard	Adam beta1=0.47 (within noise, 0.0001 worse)
127aed8	1.096327	7.2	discard	Adam beta1=0.48 (within noise, 0.00009 worse)
9f1d154	1.098175	7.2	discard	seed=1234 (variance test, seed 42 better)
336c49c	1.100681	7.2	discard	c_proj small random init (zero init better)
3a713db	1.096488	7.2	discard	VE gate channels=16 (within noise)
2741ce5	1.096984	7.2	discard	embedding_std=0.7 (0.6 still better)
02f4a9b	1.096991	7.2	discard	short_window=128 (more steps but less context)
0c36096	1.096587	7.2	discard	MATRIX_LR=0.06 (0.055 still optimal)
3c0264e	1.096696	7.2	discard	MATRIX_LR=0.06+beta1=0.48 combo (no synergy)
fea6b75	1.099672	7.2	discard	VE gate tanh (sigmoid [0,2] better)
2baea01	1.103770	7.2	discard	two-cycle LR (restart disrupts training)
39cf75f	1.097108	7.2	discard	no momentum warmup (warmup helps)
69e45cf	1.096803	7.2	discard	WARMDOWN_RATIO=0.8 (full warmdown=1.0 better)
47e4f21	1.097019	7.2	discard	VE gate multiplier 1.5 (2.0 still optimal)
4b5b660	1.097108	7.2	discard	higher LRs (emb 0.5 unemb 0.01 matrix 0.06; too aggressive)
50a295b	1.107631	7.0	discard	VE last layer only (alternating much better)
1af278a	1.110423	7.0	discard	VE first layer only (alternating much better)
bc15e8f	1.096759	7.2	discard	FINAL_LR_FRAC=0.01 (within noise, 0.02 still optimal)
cfd10bb	1.308322	7.2	discard	softmax_scale=1/head_dim (way too soft)
2c98f0e	1.096903	7.2	discard	softmax_scale=0.12 (default better with QK norm)
c71394a	1.098409	7.2	discard	increasing WD schedule (decreasing better)
0bbff11	1.096686	7.2	discard	PE norm 1.0 (within noise, 1.02 slightly better)
1189011	1.105610	7.2	discard	MLP before attention (attention first better)
d8f7615	1.096953	7.2	discard	x0_lambdas init=0.05 (0.1 still optimal)
2775e17	0.000000	0.0	crash	learnable softcap (loss exploded on step 1)
b614fcb	1.096257	7.2	discard	Adam beta2=0.98 (essentially equal, 0.000015 worse)
3ac0493	1.096269	7.2	discard	Adam beta2=0.97 (0.000027 worse, within noise)
2b364ab	1.096643	7.2	discard	Adam beta2=0.96 (0.97 closer)
3e31f28	1.096580	7.2	discard	Adam (0.48,0.97) (no synergy)
8627756	1.096646	7.2	discard	Adam beta2=0.975 (0.95 and 0.98 both better)
c8a21d2	1.258773	7.3	discard	EMA decay=0.999 (too slow, keeps stale early weights)
c424780	1.099021	7.3	discard	EMA decay=0.99 start at 50% (worse, final weights already averaged)
21e555e	1.099844	9.6	discard	depth=7 aspect=55 (384 dim, 45.4M params - worse, width wins)
ca69ab4	1.101395	8.4	discard	depth=6 at 512 dim (38.3M, 1291 steps - fewer steps hurts)
dd1db39	1.112983	7.2	discard	depth=4 at 640 dim (too shallow, 4 layers insufficient)
774d153	1.421158	9.2	discard	label smoothing 0.1 (hurts - eval uses hard targets)
192922a	1.097661	7.2	discard	z-loss 1e-4 (redundant with softcap)
afde268	1.099583	7.2	discard	cosine warmdown (linear better for this setup)
24bd2ea	1.096922	7.2	discard	grad clip max_norm=1.0 (slightly worse, Muon handles grads well)
d2485a9	1.114716	11.3	discard	multi-token prediction aux head (too expensive, -280 steps)
0a95afb	1.098154	7.5	discard	MLP 4x expansion (fewer steps offset extra capacity)
2d6dfad	1.097722	6.9	discard	MLP 3x expansion (more steps but less capacity, net worse)
2ad9d75	1.101011	6.6	discard	GQA 2 KV heads (more steps but less KV capacity)
aeabb3c	1.107276	6.5	discard	HEAD_DIM=64 (8 heads, much worse despite more steps)
4161b59	1.112488	7.0	discard	no value embeddings (VE crucial, -12.5M params hurts badly)
c89c7cc	1.164606	7.3	discard	batch 131K (half the steps, much worse)
78a6366	1.104122	3.8	discard	batch=32K (noisier gradients despite 2x steps)
789f7c3	1.103065	8.3	discard	SwiGLU (extra gate layer too expensive, 40M params 1240 steps)
6b59b90	1.097235	7.2	discard	FINAL_LR_FRAC=0.05 (0.02 better)
c80e562	1.097136	7.2	discard	FINAL_LR_FRAC=0.01 (too aggressive)
c956844	1.098363	7.2	discard	standard WD without cautious mask (cautious is better)
2df662d	1.098931	7.4	discard	VE on all 5 layers (extra params not worth it)
5b1eab8	1.099798	7.1	discard	VE first+last only (2/5, alternating 3/5 better)
c441cc4	1.099462	7.2	discard	2% warmup (0% warmup better, momentum warmup suffices)
211de3b	1.097463	7.2	discard	softcap=15 (11 is optimal)
3d9c922	1.115119	6.6	discard	parallel attn+MLP (sequential much better)
0ec44da	1.099538	7.2	discard	window 512 (seq/4, larger window costs more compute)
c78e1ef	1.106541	7.2	discard	no softcap (softcap clearly beneficial)
526c62b	1.099042	7.2	discard	ns_steps=4 (5 iterations optimal)
511f9fd	1.097901	7.2	discard	rotary base=10000 (50000 better)
03330ed	1.097429	7.2	discard	embedding WD=0.008 (0.004 optimal)
cf051ed	1.097140	7.2	discard	MATRIX_LR=0.06 (0.055 better)
61bd166	1.105746	7.0	discard	no x0 residual (x0 connection clearly helps)
b1235ec	1.097399	7.2	discard	Muon momentum 0.80->0.95 (0.90 final better)
39e9a65	1.097468	7.3	discard	final embedding skip (x0 residual already sufficient)
9dccce0	1.098085	7.2	discard	constant WD (linear decay better)
1126b71	1.096942	7.2	discard	embedding init std=0.5 (close but 0.6 still better)
426cd4a	1.097658	7.2	discard	embedding init std=0.7 (0.6 optimal)
469bce7	0.000000	0.0	crash	MLP c_fc bias (1D bias crashes in Muon optimizer)
fca7898	1.097554	7.2	discard	UNEMBEDDING_LR=0.01 (0.008 optimal)
7aa7007	1.097499	7.2	discard	VE LR=0.3 (same as embedding LR=0.45 is better)
7c77c52	1.096983	7.2	discard	EMBEDDING_LR=0.5 (0.45 better)
3d79f62	1.097548	7.2	discard	VE gate channels=64 (32 optimal)
e02def2	1.097486	7.2	discard	Muon beta2=0.999 NorMuon smoothing (beta2=None better)
5c2aad9	1.096939	7.2	discard	WD follows LR schedule (very close but not better)
19a8d4e	1.096853	7.2	discard	MLP scale 0.8 (close, +0.0006 from best)
1051a6b	1.096864	7.2	discard	MLP scale 0.65 (close but 0.7 optimal)
0075cb7	1.096713	7.2	discard	per-layer MLP scale 0.8->0.6 (closest yet but still worse)
f3e7cfb	1.096533	7.2	discard	per-layer MLP scale 0.9->0.5 (very close, +0.00029)
67c198c	1.097225	7.2	discard	per-layer MLP scale 0.5->0.9 increasing (decreasing better)
e867fdb	1.096583	7.2	discard	per-layer MLP scale 1.0->0.4 (0.9->0.5 was slightly better)
02eb3dc	1.096674	7.2	discard	per-layer MLP scale 0.95->0.55 avg 0.75 (0.9->0.5 avg 0.7 better)
2d32eac	1.096424	7.2	discard	MLP scale 0.9->0.5 + beta2=0.98 (closest yet +0.000182)
7ce7662	1.218138	4.8	discard	640 dim 5 heads (48.7M params, too slow at 1019 steps)
26b25d1	1.098471	7.2	discard	two-cycle LR 1.0->0.3->0.02 (single warmdown better)
311f350	1.096511	7.2	discard	per-layer MLP scale 0.9->0.5 rerun (consistent 1.0965, not better)
be19a49	1.096532	7.2	discard	attn scale 0.8->1.2 + MLP scale 0.9->0.5 (no better than MLP alone)
cf1f2d5	1.096757	7.2	discard	WEIGHT_DECAY=0.10 (0.08 better)
24623d2	1.097222	7.2	discard	WEIGHT_DECAY=0.06 (0.08 better)
84465ba	1.096721	7.2	discard	MLP scale 0.9->0.5 + WD=0.09 (WD change doesn't help)
be863b2	1.111367	7.2	discard	GELU activation (ReluSquared much better, sparsity helps)
4115630	1.097121	7.2	discard	MATRIX_LR=0.050 (0.055 optimal)
c5f5e8a	1.097042	7.2	discard	momentum warmup 400 steps (200 better)
a313617	1.097192	7.2	discard	VE gate scale 1.5 (2.0 better)
f7e9361	1.096819	7.2	discard	resid=0.85 x0=0.15 (0.90/0.1 better)
4722f54	1.099679	7.2	discard	lm_head init std=0.01 (too large, 0.001 optimal)
ccc9096	1.111376	7.2	discard	all full attention (too expensive, -150 steps)
1052678	1.097469	7.2	discard	window 128 (seq/16, more steps but less context)
517c72d	1.100807	7.4	discard	5% attention dropout (hurts in compute-limited regime)
ffee0cc	1.123706	7.2	discard	post-norm after attention (hurts gradient flow badly)
0923ecc	1.097096	7.2	discard	MATRIX_LR=0.0525 (0.055 optimal)
8b2b7ce	1.097197	7.2	discard	EMBEDDING_LR=0.42 (0.45 optimal)
730f215	1.096971	7.2	discard	MLP scale 0.9->0.5 + LR=0.057 (LR change hurts)
a396f9f	1.097852	7.2	discard	SCALAR_LR=0.5 (1.0 better)
8d37114	1.105298	7.2	discard	bottleneck VE 128 (too much capacity loss, 26M params)
2a67936	1.100798	7.3	discard	SWA avg 6 snapshots last 20% of training (hurts)
f39aa29	1.098533	7.2	discard	c_proj init small random std=0.01 instead of zeros
42a8ef6	1.111578	8.8	discard	wider model depth=5 dim=640 5heads (48.7M params too large)
075d03c	1.103479	6.5	discard	depth=6 dim=384 3heads (deeper narrower 25.5M params)
e88a953	1.099938	7.2	discard	CenterNorm (subtract mean before RMS norm)
4b21d19	1.178411	3.9	discard	DEVICE_BATCH_SIZE=16 2 grad accum steps (much worse)
75ddced	1.100902	10.7	discard	DEVICE_BATCH_SIZE=48 TOTAL_BATCH=98304 (fewer steps)
fdff754	1.108585	7.2	discard	SiLU activation in MLP (ReluSquared much better)
eac3e9b	1.097786	7.2	discard	emb_std=0.5 (0.6 better)
e33e6b9	1.107405	7.2	discard	token dropping 5% from loss (hurts significantly)
23747a5	1.098837	7.2	discard	Muon ns_steps=4 (5 better)
4d6a0e5	1.107421	7.4	discard	GLU with ReluSquared gating 2.5x hidden (36M params)
6d42739	1.097076	7.2	discard	PE norm factor 1.0 (1.02 better)
c6ea0b2	1.097470	7.2	discard	PE norm factor 1.05 (1.02 better)
5353234	1.097379	7.2	discard	gradient resid/x0 lambdas (0.85-0.95/0.15-0.05)
0e3332b	1.097479	7.2	discard	Muon momentum warmup 300 steps (200 better)
879b488	1.098836	7.2	discard	attention temperature 0.85 (QK norm already good)
80441f1	1.099330	7.5	discard	MLP expansion 4.0x (3.5x better, fewer steps)
8360bef	1.098117	6.9	discard	MLP expansion 3.0x (3.5x better despite more steps)
d3b6106	1.098216	7.2	discard	rotary base=10000 (50000 better)
11c1638	1.097358	7.2	discard	rotary base=100000 (50000 better)
dd140c9	1.097047	7.2	discard	VE gate scale 1.5 (2.0 slightly better)
16281e6	1.097294	7.2	discard	VE gate scale 3.0 (2.0 better)
e54ed90	1.097703	7.2	discard	VE gate channels=64 (32 better)
7bc0570	1.098747	7.2	discard	standard WD no cautious masking (cautious better)
6cd85b2	1.097336	7.2	discard	FINAL_LR_FRAC=0.01 (0.02 slightly better)
158ed98	1.097584	7.2	discard	FINAL_LR_FRAC=0.05 (0.02 better)
f3fbdd7	1.100557	7.2	discard	lm_head init std=0.002 (0.001 better)
0fb1bcb	1.097910	7.2	discard	lm_head init std=0.0005 (0.001 better)
f3be0f2	1.097102	7.2	discard	lm_head WD=0.0 (0.001 better)
f03e92b	1.096954	7.2	discard	VE WD=0.008 (0.004 slightly better)
104ac21	1.098205	7.2	discard	VE WD=0.002 (0.004 better)
0f17525	1.098183	7.2	discard	VE LR=0.5*embedding_lr (full LR better)
42f44a4	1.100385	7.0	discard	remove norm after embedding (norm needed)
9f760cf	1.098216	7.2	discard	Muon momentum 0.85->0.95 (0.80->0.90 better)
9bdbe3a	1.099208	7.2	discard	normal init for QKV/MLP (uniform better)
3d48e8a	1.098071	7.2	discard	embedding WD=0.008 (0.004 better)
115ed66	1.100212	7.2	discard	lm_head Adam betas=(0.9, 0.95) (0.5, 0.95 better)
e6b307a	1.099452	7.2	discard	seed=137 (seed 42 better by ~0.003)
74c549b	1.099761	7.2	discard	short_window=512 (256 better, fewer steps)
4384cdb	1.097694	7.2	discard	short_window=128 (256 better despite more steps)
8e9215b	1.096714	7.2	discard	MLP scale 0.9->0.5 per-layer + VE WD=0.008
e797e10	1.097119	7.2	discard	MLP scale 0.9->0.5 per-layer reconfirm
3be97a3	1.096952	7.2	discard	MLP scale 0.8->0.6 per-layer (gentler range)
713accb	1.097808	7.2	discard	per-layer attn 1.0->0.8 + MLP 0.9->0.5 (attn scale hurts)
05c0c77	1.097364	7.2	discard	WEIGHT_DECAY=0.10 (0.08 better)
9aa84eb	1.097482	7.2	discard	WEIGHT_DECAY=0.06 (0.08 better)
7f52698	1.098229	7.2	discard	constant WD no decay (linear decay better)
fc75325	1.097251	7.2	discard	WD cosine decay (linear slightly better)
3338e31	1.097557	7.2	discard	Muon beta2=0.999 (None better for short training)
3b40419	1.098406	7.2	discard	UNEMBEDDING_LR=0.010 (0.008 better)
827f3ef	1.097415	7.2	discard	UNEMBEDDING_LR=0.006 (0.008 better)
533b825	1.097240	7.2	discard	resid=0.95 x0=0.05 (0.90/0.10 better)
4e7a3a3	1.097299	7.2	discard	resid=0.85 x0=0.15 (0.90/0.10 better)
57f1903	1.100017	7.2	discard	cosine LR schedule (linear warmdown better)
e0da5a8	1.104499	7.2	discard	sqrt LR warmdown (too slow decay, linear better)
1471fb6	1.104140	7.2	discard	quadratic LR warmdown (too fast early drop)
0a9eb88	1.118169	7.0	discard	remove norm before attention (essential for stability)
1ae763d	1.106938	7.2	discard	1% warmup + 99% warmdown (0 warmup better)
b0eabd3	1.097292	7.2	discard	MLP scale 0.8->0.6 + FINAL_LR_FRAC=0.01
3a1db7c	1.097178	7.2	discard	MLP scale 0.8->0.6 + MATRIX_LR=0.054
03ffd2d	1.097314	7.2	discard	MLP scale 0.8->0.6 + resid=0.92/x0=0.08
e4fa994	1.099552	7.4	discard	VE on all 5 layers (alternating better, 43.8M too many params)
8331d48	1.110600	7.0	discard	VE only first layer (27M params, alternating much better)
372778f	1.100311	7.1	discard	VE first+last layer only (31.2M, alternating 3 better)
14d14f1	1.104238	10.1	discard	double MLP per block (44.6M too many params, 1077 steps)
2db9583	1.096860	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + PE norm=1.0
3cec6c5	1.096913	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + cosine WD decay
a9eb8ba	1.097216	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + EMBEDDING_LR=0.48
0ea39e0	1.096728	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + lm_head WD=0.002
e69a15d	1.105660	7.0	discard	remove x0 residual connection entirely (x0 essential)
32dbdf7	1.097527	7.2	discard	softcap=12 (11 better)
599a683	1.097782	7.2	discard	softcap=10 (11 better)
23791a4	1.097569	7.2	discard	ADAM_BETAS=(0.6, 0.95) (0.5, 0.95 better)
f4b2b3a	1.098002	7.2	discard	ADAM_BETAS=(0.4, 0.95) (0.5, 0.95 better)
2c5377c	1.097462	7.2	discard	ADAM_BETAS=(0.5, 0.99) (0.95 better)
5d7d8db	1.097619	7.2	discard	VE contribution scaled by 0.5 (full better)
dbf4bf4	1.097504	7.2	discard	MLP 0.8->0.6 + resid_params LR=0.01 (0.005 better)
eb43091	1.106292	7.2	discard	remove softcap entirely (softcap essential)
aecc332	1.096825	7.2	discard	repeat MLP 0.8->0.6 + VE WD=0.008 (confirms ~1.0968)
2349176	1.097259	7.0	discard	MLP expansion 3.25x (3.5x better despite fewer steps)
bdf3f8f	1.099788	7.2	discard	partial rotary (50% dims rotated) - full rotary better
789b07b	1.187857	7.5	discard	learned per-layer MLP scale (init 0.7) - much worse convergence
2800e03	1.096622	7.2	discard	resid_params betas=(0.9,0.95) instead of adam_betas
b0e3a5b	1.100976	6.6	discard	GQA n_kv_head=2 (saves params but hurts quality)
728cd3d	1.097057	7.2	discard	attention output scale 0.9 (1.0 better)
83b87b4	1.096630	7.2	discard	smaller VE init s*0.5 (full s better)
2aa89ee	1.096838	7.2	discard	x0=0.15 resid=0.85 (0.1/0.90 better)
a6e350e	1.097328	7.2	discard	per-layer resid/x0 lambdas (uniform 0.90/0.1 better)
6e2d85a	1.095779	7.2	keep	QK norm before rotary (instead of after)
c343e3c	1.095728	7.2	keep	norm-before-rotary + MLP scale 0.8->0.6 per layer
d99b4a9	1.095927	7.2	discard	add VE WD=0.008 (0.004 better with this combo)
d87fec4	1.095738	7.2	discard	MATRIX_LR=0.06 (0.055 marginally better)
4e738b2	1.095560	7.2	keep	EMBEDDING_LR=0.50 (from 0.45)
c5ac26a	1.096356	7.2	discard	EMBEDDING_LR=0.55 (too high)
b96e0d4	1.096399	7.2	discard	UNEMBEDDING_LR=0.009 (0.008 better)
8234869	1.096336	7.2	discard	MATRIX_LR=0.050 (0.055 better)
403fccb	1.095817	7.2	discard	WEIGHT_DECAY=0.10 (0.08 better)
eaa4b10	1.096312	7.2	discard	MLP scale 0.75->0.65 (0.8->0.6 better)
4acde03	1.095803	7.2	discard	fixed MLP scale 0.7 (per-layer 0.8->0.6 better)
ffdf813	1.096335	7.2	discard	emb_std=0.7 (0.6 better)
400a322	1.095742	7.2	discard	softcap=12 (11 better)
456384f	1.096291	7.5	discard	MLP 4.0x expansion (3.5x better with more steps)
d3e0a75	1.095379	7.2	keep	ADAM_BETAS=(0.45, 0.95) from (0.5, 0.95)
8994cd9	1.095511	7.2	discard	ADAM_BETAS=(0.40, 0.95) - 0.45 better
