Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 5, 'n_head': 7, 'n_kv_head': 7, 'n_embd': 448, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 3,670,016
  value_embeds            : 11,010,048
  lm_head                 : 3,670,016
  transformer_matrices    : 11,039,728
  scalars                 : 10
  total                   : 29,389,818
Estimated FLOPs per token: 1.047735e+08
Scaling AdamW LRs by 1/sqrt(448/768) = 1.309307
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011097 | lrm: 1.00 | dt: 18429ms | tok/sec: 3,556 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00421 (24.6%) | loss: 3.604770 | lrm: 0.76 | dt: 182ms | tok/sec: 360,511 | mfu: 3.8% | epoch: 1 | remaining: 226s    
step 00422 (24.7%) | loss: 3.612520 | lrm: 0.76 | dt: 180ms | tok/sec: 363,657 | mfu: 3.9% | epoch: 1 | remaining: 226s    
step 00423 (24.7%) | loss: 3.607474 | lrm: 0.76 | dt: 181ms | tok/sec: 361,854 | mfu: 3.8% | epoch: 1 | remaining: 226s    
step 00424 (24.8%) | loss: 3.602999 | lrm: 0.76 | dt: 182ms | tok/sec: 360,692 | mfu: 3.8% | epoch: 1 | remaining: 225s    
step 00425 (24.8%) | loss: 3.604655 | lrm: 0.76 | dt: 184ms | tok/sec: 356,004 | mfu: 3.8% | epoch: 1 | remaining: 225s    
step 00426 (24.9%) | loss: 3.610932 | lrm: 0.76 | dt: 185ms | tok/sec: 354,301 | mfu: 3.8% | epoch: 1 | remaining: 225s    
step 00427 (25.0%) | loss: 3.603777 | lrm: 0.76 | dt: 177ms | tok/sec: 369,895 | mfu: 3.9% | epoch: 1 | remaining: 225s    
step 00428 (25.0%) | loss: 3.606575 | lrm: 0.75 | dt: 184ms | tok/sec: 356,660 | mfu: 3.8% | epoch: 1 | remaining: 225s    
step 00429 (25.1%) | loss: 3.608187 | lrm: 0.75 | dt: 181ms | tok/sec: 362,613 | mfu: 3.8% | epoch: 1 | remaining: 225s    
step 00430 (25.1%) | loss: 3.602745 | lrm: 0.75 | dt: 181ms | tok/sec: 361,540 | mfu: 3.8% | epoch: 1 | remaining: 224s    
step 00431 (25.2%) | loss: 3.610585 | lrm: 0.75 | dt: 183ms | tok/sec: 357,512 | mfu: 3.8% | epoch: 1 | remaining: 224s    
step 00432 (25.3%) | loss: 3.607176 | lrm: 0.75 | dt: 181ms | tok/sec: 361,858 | mfu: 3.8% | epoch: 1 | remaining: 224s    
step 00433 (25.3%) | loss: 3.606216 | lrm: 0.75 | dt: 181ms | tok/sec: 361,154 | mfu: 3.8% | epoch: 1 | remaining: 224s    
step 00434 (25.4%) | loss: 3.603520 | lrm: 0.75 | dt: 183ms | tok/sec: 358,909 | mfu: 3.8% | epoch: 1 | remaining: 224s    
step 00435 (25.4%) | loss: 3.615754 | lrm: 0.75 | dt: 183ms | tok/sec: 358,515 | mfu: 3.8% | epoch: 1 | remaining: 223s    
step 00436 (25.5%) | loss: 3.617711 | lrm: 0.75 | dt: 183ms | tok/sec: 358,530 | mfu: 3.8% | epoch: 1 | remaining: 223s    
step 00437 (25.6%) | loss: 3.608172 | lrm: 0.75 | dt: 183ms | tok/sec: 358,760 | mfu: 3.8% | epoch: 1 | remaining: 223s    
step 00438 (25.6%) | loss: 3.610661 | lrm: 0.75 | dt: 180ms | tok/sec: 363,619 | mfu: 3.9% | epoch: 1 | remaining: 223s    
step 00439 (25.7%) | loss: 3.615680 | lrm: 0.75 | dt: 181ms | tok/sec: 362,252 | mfu: 3.8% | epoch: 1 | remaining: 223s    
step 00440 (25.8%) | loss: 3.611016 | lrm: 0.75 | dt: 181ms | tok/sec: 361,357 | mfu: 3.8% | epoch: 1 | remaining: 223s    
step 00441 (25.8%) | loss: 3.622420 | lrm: 0.75 | dt: 181ms | tok/sec: 361,866 | mfu: 3.8% | epoch: 1 | remaining: 222s    
step 00442 (25.9%) | loss: 3.620956 | lrm: 0.75 | dt: 182ms | tok/sec: 359,790 | mfu: 3.8% | epoch: 1 | remaining: 222s    
step 00443 (25.9%) | loss: 3.618510 | lrm: 0.75 | dt: 182ms | tok/sec: 361,049 | mfu: 3.8% | epoch: 1 | remaining: 222s    
step 00444 (26.0%) | loss: 3.615842 | lrm: 0.75 | dt: 182ms | tok/sec: 359,564 | mfu: 3.8% | epoch: 1 | remaining: 222s    
step 00445 (26.1%) | loss: 3.618850 | lrm: 0.74 | dt: 183ms | tok/sec: 358,390 | mfu: 3.8% | epoch: 1 | remaining: 222s    
step 00446 (26.1%) | loss: 3.617012 | lrm: 0.74 | dt: 183ms | tok/sec: 357,145 | mfu: 3.8% | epoch: 1 | remaining: 221s    
step 00447 (26.2%) | loss: 3.606674 | lrm: 0.74 | dt: 181ms | tok/sec: 361,729 | mfu: 3.8% | epoch: 1 | remaining: 221s    
step 00448 (26.2%) | loss: 3.612451 | lrm: 0.74 | dt: 181ms | tok/sec: 362,973 | mfu: 3.8% | epoch: 1 | remaining: 221s    
step 00449 (26.3%) | loss: 3.607986 | lrm: 0.74 | dt: 181ms | tok/sec: 361,941 | mfu: 3.8% | epoch: 1 | remaining: 221s    
step 00450 (26.4%) | loss: 3.596239 | lrm: 0.74 | dt: 181ms | tok/sec: 361,819 | mfu: 3.8% | epoch: 1 | remaining: 221s    
step 00451 (26.4%) | loss: 3.591853 | lrm: 0.74 | dt: 182ms | tok/sec: 359,690 | mfu: 3.8% | epoch: 1 | remaining: 221s    
step 00452 (26.5%) | loss: 3.596767 | lrm: 0.74 | dt: 181ms | tok/sec: 361,531 | mfu: 3.8% | epoch: 1 | remaining: 220s    
step 00453 (26.5%) | loss: 3.601350 | lrm: 0.74 | dt: 181ms | tok/sec: 361,381 | mfu: 3.8% | epoch: 1 | remaining: 220s    
step 00454 (26.6%) | loss: 3.607639 | lrm: 0.74 | dt: 182ms | tok/sec: 359,635 | mfu: 3.8% | epoch: 1 | remaining: 220s    
step 00455 (26.7%) | loss: 3.606855 | lrm: 0.74 | dt: 182ms | tok/sec: 359,219 | mfu: 3.8% | epoch: 1 | remaining: 220s    
step 00456 (26.7%) | loss: 3.596832 | lrm: 0.74 | dt: 184ms | tok/sec: 356,300 | mfu: 3.8% | epoch: 1 | remaining: 220s    
step 00457 (26.8%) | loss: 3.600085 | lrm: 0.74 | dt: 182ms | tok/sec: 359,531 | mfu: 3.8% | epoch: 1 | remaining: 219s    
step 00458 (26.8%) | loss: 3.599489 | lrm: 0.74 | dt: 180ms | tok/sec: 363,300 | mfu: 3.8% | epoch: 1 | remaining: 219s    
step 00459 (26.9%) | loss: 3.600878 | lrm: 0.74 | dt: 182ms | tok/sec: 360,931 | mfu: 3.8% | epoch: 1 | remaining: 219s    
step 00460 (27.0%) | loss: 3.602219 | lrm: 0.74 | dt: 181ms | tok/sec: 362,781 | mfu: 3.8% | epoch: 1 | remaining: 219s    
step 00461 (27.0%) | loss: 3.599440 | lrm: 0.74 | dt: 182ms | tok/sec: 359,731 | mfu: 3.8% | epoch: 1 | remaining: 219s    
step 00462 (27.1%) | loss: 3.591344 | lrm: 0.73 | dt: 182ms | tok/sec: 360,800 | mfu: 3.8% | epoch: 1 | remaining: 219s    
step 00463 (27.1%) | loss: 3.595856 | lrm: 0.73 | dt: 182ms | tok/sec: 360,140 | mfu: 3.8% | epoch: 1 | remaining: 218s    
step 00464 (27.2%) | loss: 3.600201 | lrm: 0.73 | dt: 181ms | tok/sec: 362,449 | mfu: 3.8% | epoch: 1 | remaining: 218s    
step 00465 (27.3%) | loss: 3.589513 | lrm: 0.73 | dt: 184ms | tok/sec: 355,445 | mfu: 3.8% | epoch: 1 | remaining: 218s    
step 00466 (27.3%) | loss: 3.583793 | lrm: 0.73 | dt: 184ms | tok/sec: 357,129 | mfu: 3.8% | epoch: 1 | remaining: 218s    
step 00467 (27.4%) | loss: 3.579883 | lrm: 0.73 | dt: 181ms | tok/sec: 362,008 | mfu: 3.8% | epoch: 1 | remaining: 218s    
step 00468 (27.4%) | loss: 3.574634 | lrm: 0.73 | dt: 181ms | tok/sec: 361,170 | mfu: 3.8% | epoch: 1 | remaining: 217s    
step 00469 (27.5%) | loss: 3.576237 | lrm: 0.73 | dt: 181ms | tok/sec: 361,805 | mfu: 3.8% | epoch: 1 | remaining: 217s    
step 00470 (27.6%) | loss: 3.573418 | lrm: 0.73 | dt: 182ms | tok/sec: 360,245 | mfu: 3.8% | epoch: 1 | remaining: 217s    
step 00471 (27.6%) | loss: 3.570941 | lrm: 0.73 | dt: 181ms | tok/sec: 361,796 | mfu: 3.8% | epoch: 1 | remaining: 217s    
step 00472 (27.7%) | loss: 3.578359 | lrm: 0.73 | dt: 182ms | tok/sec: 359,704 | mfu: 3.8% | epoch: 1 | remaining: 217s    
step 00473 (27.8%) | loss: 3.572170 | lrm: 0.73 | dt: 181ms | tok/sec: 361,965 | mfu: 3.8% | epoch: 1 | remaining: 217s    
step 00474 (27.8%) | loss: 3.568620 | lrm: 0.73 | dt: 183ms | tok/sec: 358,908 | mfu: 3.8% | epoch: 1 | remaining: 216s    
step 00475 (27.9%) | loss: 3.575227 | lrm: 0.73 | dt: 184ms | tok/sec: 356,844 | mfu: 3.8% | epoch: 1 | remaining: 216s    
step 00476 (27.9%) | loss: 3.580065 | lrm: 0.73 | dt: 183ms | tok/sec: 357,297 | mfu: 3.8% | epoch: 1 | remaining: 216s    
step 00477 (28.0%) | loss: 3.582443 | lrm: 0.73 | dt: 180ms | tok/sec: 363,995 | mfu: 3.9% | epoch: 1 | remaining: 216s    
step 00478 (28.1%) | loss: 3.581662 | lrm: 0.73 | dt: 181ms | tok/sec: 361,731 | mfu: 3.8% | epoch: 1 | remaining: 216s    
step 00479 (28.1%) | loss: 3.586430 | lrm: 0.72 | dt: 181ms | tok/sec: 361,996 | mfu: 3.8% | epoch: 1 | remaining: 215s    
step 00480 (28.2%) | loss: 3.575122 | lrm: 0.72 | dt: 182ms | tok/sec: 360,869 | mfu: 3.8% | epoch: 1 | remaining: 215s    
step 00481 (28.2%) | loss: 3.577512 | lrm: 0.72 | dt: 182ms | tok/sec: 359,801 | mfu: 3.8% | epoch: 1 | remaining: 215s    
step 00482 (28.3%) | loss: 3.573538 | lrm: 0.72 | dt: 181ms | tok/sec: 362,349 | mfu: 3.8% | epoch: 1 | remaining: 215s    
step 00483 (28.4%) | loss: 3.572483 | lrm: 0.72 | dt: 182ms | tok/sec: 360,928 | mfu: 3.8% | epoch: 1 | remaining: 215s    
step 00484 (28.4%) | loss: 3.575329 | lrm: 0.72 | dt: 182ms | tok/sec: 359,600 | mfu: 3.8% | epoch: 1 | remaining: 215s    
step 00485 (28.5%) | loss: 3.571493 | lrm: 0.72 | dt: 182ms | tok/sec: 360,349 | mfu: 3.8% | epoch: 1 | remaining: 214s    
step 00486 (28.5%) | loss: 3.569381 | lrm: 0.72 | dt: 184ms | tok/sec: 356,482 | mfu: 3.8% | epoch: 1 | remaining: 214s    
step 00487 (28.6%) | loss: 3.569572 | lrm: 0.72 | dt: 182ms | tok/sec: 360,943 | mfu: 3.8% | epoch: 1 | remaining: 214s    
step 00488 (28.7%) | loss: 3.564705 | lrm: 0.72 | dt: 181ms | tok/sec: 362,362 | mfu: 3.8% | epoch: 1 | remaining: 214s    
step 00489 (28.7%) | loss: 3.563059 | lrm: 0.72 | dt: 181ms | tok/sec: 362,476 | mfu: 3.8% | epoch: 1 | remaining: 214s    
step 00490 (28.8%) | loss: 3.568825 | lrm: 0.72 | dt: 181ms | tok/sec: 361,550 | mfu: 3.8% | epoch: 1 | remaining: 213s    
step 00491 (28.8%) | loss: 3.566793 | lrm: 0.72 | dt: 182ms | tok/sec: 360,059 | mfu: 3.8% | epoch: 1 | remaining: 213s    
step 00492 (28.9%) | loss: 3.566944 | lrm: 0.72 | dt: 182ms | tok/sec: 360,335 | mfu: 3.8% | epoch: 1 | remaining: 213s    
step 00493 (29.0%) | loss: 3.568321 | lrm: 0.72 | dt: 182ms | tok/sec: 360,647 | mfu: 3.8% | epoch: 1 | remaining: 213s    
step 00494 (29.0%) | loss: 3.563577 | lrm: 0.72 | dt: 182ms | tok/sec: 359,536 | mfu: 3.8% | epoch: 1 | remaining: 213s    
step 00495 (29.1%) | loss: 3.554421 | lrm: 0.71 | dt: 182ms | tok/sec: 360,111 | mfu: 3.8% | epoch: 1 | remaining: 213s    
step 00496 (29.1%) | loss: 3.557689 | lrm: 0.71 | dt: 182ms | tok/sec: 360,976 | mfu: 3.8% | epoch: 1 | remaining: 212s    
step 00497 (29.2%) | loss: 3.561937 | lrm: 0.71 | dt: 186ms | tok/sec: 353,183 | mfu: 3.7% | epoch: 1 | remaining: 212s    
step 00498 (29.3%) | loss: 3.566402 | lrm: 0.71 | dt: 180ms | tok/sec: 364,091 | mfu: 3.9% | epoch: 1 | remaining: 212s    
step 00499 (29.3%) | loss: 3.567168 | lrm: 0.71 | dt: 181ms | tok/sec: 362,751 | mfu: 3.8% | epoch: 1 | remaining: 212s    
step 00500 (29.4%) | loss: 3.564195 | lrm: 0.71 | dt: 181ms | tok/sec: 361,158 | mfu: 3.8% | epoch: 1 | remaining: 212s    
step 00501 (29.4%) | loss: 3.564060 | lrm: 0.71 | dt: 181ms | tok/sec: 362,389 | mfu: 3.8% | epoch: 1 | remaining: 211s    
step 00502 (29.5%) | loss: 3.570347 | lrm: 0.71 | dt: 182ms | tok/sec: 359,708 | mfu: 3.8% | epoch: 1 | remaining: 211s    
step 00503 (29.6%) | loss: 3.572242 | lrm: 0.71 | dt: 181ms | tok/sec: 361,144 | mfu: 3.8% | epoch: 1 | remaining: 211s    
step 00504 (29.6%) | loss: 3.561571 | lrm: 0.71 | dt: 182ms | tok/sec: 360,064 | mfu: 3.8% | epoch: 1 | remaining: 211s    
step 00505 (29.7%) | loss: 3.559442 | lrm: 0.71 | dt: 183ms | tok/sec: 357,202 | mfu: 3.8% | epoch: 1 | remaining: 211s    
step 00506 (29.8%) | loss: 3.557463 | lrm: 0.71 | dt: 183ms | tok/sec: 357,539 | mfu: 3.8% | epoch: 1 | remaining: 211s    
step 00507 (29.8%) | loss: 3.560416 | lrm: 0.71 | dt: 180ms | tok/sec: 363,151 | mfu: 3.8% | epoch: 1 | remaining: 210s    
step 00508 (29.9%) | loss: 3.558951 | lrm: 0.71 | dt: 183ms | tok/sec: 357,437 | mfu: 3.8% | epoch: 1 | remaining: 210s    
step 00509 (29.9%) | loss: 3.551620 | lrm: 0.71 | dt: 182ms | tok/sec: 360,906 | mfu: 3.8% | epoch: 1 | remaining: 210s    
step 00510 (30.0%) | loss: 3.551457 | lrm: 0.71 | dt: 182ms | tok/sec: 360,683 | mfu: 3.8% | epoch: 1 | remaining: 210s    
step 00511 (30.1%) | loss: 3.561323 | lrm: 0.71 | dt: 182ms | tok/sec: 360,564 | mfu: 3.8% | epoch: 1 | remaining: 210s    
step 00512 (30.1%) | loss: 3.558728 | lrm: 0.70 | dt: 181ms | tok/sec: 362,066 | mfu: 3.8% | epoch: 1 | remaining: 209s    
step 00513 (30.2%) | loss: 3.553462 | lrm: 0.70 | dt: 181ms | tok/sec: 362,555 | mfu: 3.8% | epoch: 1 | remaining: 209s    
step 00514 (30.2%) | loss: 3.543468 | lrm: 0.70 | dt: 182ms | tok/sec: 359,524 | mfu: 3.8% | epoch: 1 | remaining: 209s    
step 00515 (30.3%) | loss: 3.542456 | lrm: 0.70 | dt: 185ms | tok/sec: 355,090 | mfu: 3.8% | epoch: 1 | remaining: 209s    
step 00516 (30.4%) | loss: 3.539097 | lrm: 0.70 | dt: 184ms | tok/sec: 355,428 | mfu: 3.8% | epoch: 1 | remaining: 209s    
step 00517 (30.4%) | loss: 3.529800 | lrm: 0.70 | dt: 181ms | tok/sec: 363,079 | mfu: 3.8% | epoch: 1 | remaining: 209s    
step 00518 (30.5%) | loss: 3.540340 | lrm: 0.70 | dt: 181ms | tok/sec: 362,872 | mfu: 3.8% | epoch: 1 | remaining: 208s    
step 00519 (30.5%) | loss: 3.544524 | lrm: 0.70 | dt: 180ms | tok/sec: 363,424 | mfu: 3.8% | epoch: 1 | remaining: 208s    
step 00520 (30.6%) | loss: 3.542684 | lrm: 0.70 | dt: 182ms | tok/sec: 359,832 | mfu: 3.8% | epoch: 1 | remaining: 208s    
step 00521 (30.7%) | loss: 3.547208 | lrm: 0.70 | dt: 183ms | tok/sec: 357,397 | mfu: 3.8% | epoch: 1 | remaining: 208s    
step 00522 (30.7%) | loss: 3.543747 | lrm: 0.70 | dt: 183ms | tok/sec: 358,427 | mfu: 3.8% | epoch: 1 | remaining: 208s    
step 00523 (30.8%) | loss: 3.539730 | lrm: 0.70 | dt: 181ms | tok/sec: 362,987 | mfu: 3.8% | epoch: 1 | remaining: 207s    
step 00524 (30.8%) | loss: 3.544220 | lrm: 0.70 | dt: 182ms | tok/sec: 360,437 | mfu: 3.8% | epoch: 1 | remaining: 207s    
step 00525 (30.9%) | loss: 3.534454 | lrm: 0.70 | dt: 182ms | tok/sec: 359,333 | mfu: 3.8% | epoch: 1 | remaining: 207s    
step 00526 (31.0%) | loss: 3.526067 | lrm: 0.70 | dt: 184ms | tok/sec: 356,220 | mfu: 3.8% | epoch: 1 | remaining: 207s    
step 00527 (31.0%) | loss: 3.520507 | lrm: 0.70 | dt: 183ms | tok/sec: 358,134 | mfu: 3.8% | epoch: 1 | remaining: 207s    
step 00528 (31.1%) | loss: 3.521847 | lrm: 0.70 | dt: 180ms | tok/sec: 364,031 | mfu: 3.9% | epoch: 1 | remaining: 207s    
step 00529 (31.1%) | loss: 3.525896 | lrm: 0.69 | dt: 181ms | tok/sec: 362,778 | mfu: 3.8% | epoch: 1 | remaining: 206s    
step 00530 (31.2%) | loss: 3.529000 | lrm: 0.69 | dt: 180ms | tok/sec: 363,370 | mfu: 3.8% | epoch: 1 | remaining: 206s    
step 00531 (31.3%) | loss: 3.532175 | lrm: 0.69 | dt: 183ms | tok/sec: 358,622 | mfu: 3.8% | epoch: 1 | remaining: 206s    
step 00532 (31.3%) | loss: 3.543182 | lrm: 0.69 | dt: 184ms | tok/sec: 357,144 | mfu: 3.8% | epoch: 1 | remaining: 206s    
step 00533 (31.4%) | loss: 3.543219 | lrm: 0.69 | dt: 184ms | tok/sec: 356,340 | mfu: 3.8% | epoch: 1 | remaining: 206s    
step 00534 (31.5%) | loss: 3.534241 | lrm: 0.69 | dt: 182ms | tok/sec: 359,177 | mfu: 3.8% | epoch: 1 | remaining: 205s    
step 00535 (31.5%) | loss: 3.534170 | lrm: 0.69 | dt: 181ms | tok/sec: 362,484 | mfu: 3.8% | epoch: 1 | remaining: 205s    
step 00536 (31.6%) | loss: 3.550516 | lrm: 0.69 | dt: 182ms | tok/sec: 359,898 | mfu: 3.8% | epoch: 1 | remaining: 205s    
step 00537 (31.6%) | loss: 3.547758 | lrm: 0.69 | dt: 182ms | tok/sec: 360,857 | mfu: 3.8% | epoch: 1 | remaining: 205s    
step 00538 (31.7%) | loss: 3.544254 | lrm: 0.69 | dt: 182ms | tok/sec: 359,876 | mfu: 3.8% | epoch: 1 | remaining: 205s    
step 00539 (31.8%) | loss: 3.542462 | lrm: 0.69 | dt: 182ms | tok/sec: 359,434 | mfu: 3.8% | epoch: 1 | remaining: 205s    
step 00540 (31.8%) | loss: 3.539891 | lrm: 0.69 | dt: 182ms | tok/sec: 360,555 | mfu: 3.8% | epoch: 1 | remaining: 204s    
step 00541 (31.9%) | loss: 3.538695 | lrm: 0.69 | dt: 183ms | tok/sec: 357,845 | mfu: 3.8% | epoch: 1 | remaining: 204s    
step 00542 (31.9%) | loss: 3.544570 | lrm: 0.69 | dt: 183ms | tok/sec: 358,622 | mfu: 3.8% | epoch: 1 | remaining: 204s    
step 00543 (32.0%) | loss: 3.541115 | lrm: 0.69 | dt: 184ms | tok/sec: 355,490 | mfu: 3.8% | epoch: 1 | remaining: 204s    
step 00544 (32.1%) | loss: 3.534453 | lrm: 0.69 | dt: 180ms | tok/sec: 363,156 | mfu: 3.8% | epoch: 1 | remaining: 204s    
step 00545 (32.1%) | loss: 3.535300 | lrm: 0.69 | dt: 181ms | tok/sec: 361,237 | mfu: 3.8% | epoch: 1 | remaining: 203s    
step 00546 (32.2%) | loss: 3.541829 | lrm: 0.68 | dt: 181ms | tok/sec: 361,589 | mfu: 3.8% | epoch: 1 | remaining: 203s    
step 00547 (32.2%) | loss: 3.539725 | lrm: 0.68 | dt: 182ms | tok/sec: 360,588 | mfu: 3.8% | epoch: 1 | remaining: 203s    
step 00548 (32.3%) | loss: 3.540283 | lrm: 0.68 | dt: 182ms | tok/sec: 360,585 | mfu: 3.8% | epoch: 1 | remaining: 203s    
step 00549 (32.4%) | loss: 3.545027 | lrm: 0.68 | dt: 183ms | tok/sec: 358,877 | mfu: 3.8% | epoch: 1 | remaining: 203s    
step 00550 (32.4%) | loss: 3.537726 | lrm: 0.68 | dt: 183ms | tok/sec: 358,292 | mfu: 3.8% | epoch: 1 | remaining: 203s    
step 00551 (32.5%) | loss: 3.542462 | lrm: 0.68 | dt: 184ms | tok/sec: 357,025 | mfu: 3.8% | epoch: 1 | remaining: 202s    
step 00552 (32.5%) | loss: 3.542849 | lrm: 0.68 | dt: 181ms | tok/sec: 361,351 | mfu: 3.8% | epoch: 1 | remaining: 202s    
step 00553 (32.6%) | loss: 3.544035 | lrm: 0.68 | dt: 181ms | tok/sec: 361,224 | mfu: 3.8% | epoch: 1 | remaining: 202s    
step 00554 (32.7%) | loss: 3.544584 | lrm: 0.68 | dt: 183ms | tok/sec: 357,811 | mfu: 3.8% | epoch: 1 | remaining: 202s    
step 00555 (32.7%) | loss: 3.541934 | lrm: 0.68 | dt: 182ms | tok/sec: 360,716 | mfu: 3.8% | epoch: 1 | remaining: 202s    
step 00556 (32.8%) | loss: 3.532268 | lrm: 0.68 | dt: 182ms | tok/sec: 359,469 | mfu: 3.8% | epoch: 1 | remaining: 201s    
step 00557 (32.8%) | loss: 3.535104 | lrm: 0.68 | dt: 183ms | tok/sec: 357,200 | mfu: 3.8% | epoch: 1 | remaining: 201s    
step 00558 (32.9%) | loss: 3.535869 | lrm: 0.68 | dt: 185ms | tok/sec: 354,987 | mfu: 3.8% | epoch: 1 | remaining: 201s    
step 00559 (33.0%) | loss: 3.544507 | lrm: 0.68 | dt: 183ms | tok/sec: 358,319 | mfu: 3.8% | epoch: 1 | remaining: 201s    
step 00560 (33.0%) | loss: 3.536484 | lrm: 0.68 | dt: 181ms | tok/sec: 361,595 | mfu: 3.8% | epoch: 1 | remaining: 201s    
step 00561 (33.1%) | loss: 3.539320 | lrm: 0.68 | dt: 182ms | tok/sec: 360,896 | mfu: 3.8% | epoch: 1 | remaining: 201s    
step 00562 (33.2%) | loss: 3.543063 | lrm: 0.68 | dt: 182ms | tok/sec: 360,244 | mfu: 3.8% | epoch: 1 | remaining: 200s    
step 00563 (33.2%) | loss: 3.529224 | lrm: 0.67 | dt: 182ms | tok/sec: 359,270 | mfu: 3.8% | epoch: 1 | remaining: 200s    
step 00564 (33.3%) | loss: 3.527984 | lrm: 0.67 | dt: 183ms | tok/sec: 357,635 | mfu: 3.8% | epoch: 1 | remaining: 200s    
step 00565 (33.3%) | loss: 3.523982 | lrm: 0.67 | dt: 183ms | tok/sec: 358,597 | mfu: 3.8% | epoch: 1 | remaining: 200s    
step 00566 (33.4%) | loss: 3.522911 | lrm: 0.67 | dt: 183ms | tok/sec: 358,567 | mfu: 3.8% | epoch: 1 | remaining: 200s    
step 00567 (33.5%) | loss: 3.522424 | lrm: 0.67 | dt: 183ms | tok/sec: 358,360 | mfu: 3.8% | epoch: 1 | remaining: 199s    
step 00568 (33.5%) | loss: 3.518336 | lrm: 0.67 | dt: 181ms | tok/sec: 362,209 | mfu: 3.8% | epoch: 1 | remaining: 199s    
step 00569 (33.6%) | loss: 3.507637 | lrm: 0.67 | dt: 184ms | tok/sec: 356,679 | mfu: 3.8% | epoch: 1 | remaining: 199s    
step 00570 (33.6%) | loss: 3.507127 | lrm: 0.67 | dt: 182ms | tok/sec: 360,687 | mfu: 3.8% | epoch: 1 | remaining: 199s    
step 00571 (33.7%) | loss: 3.512488 | lrm: 0.67 | dt: 183ms | tok/sec: 358,175 | mfu: 3.8% | epoch: 1 | remaining: 199s    
step 00572 (33.8%) | loss: 3.529485 | lrm: 0.67 | dt: 184ms | tok/sec: 355,237 | mfu: 3.8% | epoch: 1 | remaining: 199s    
step 00573 (33.8%) | loss: 3.536186 | lrm: 0.67 | dt: 182ms | tok/sec: 359,903 | mfu: 3.8% | epoch: 1 | remaining: 198s    
step 00574 (33.9%) | loss: 3.528905 | lrm: 0.67 | dt: 183ms | tok/sec: 357,661 | mfu: 3.8% | epoch: 1 | remaining: 198s    
step 00575 (33.9%) | loss: 3.528460 | lrm: 0.67 | dt: 182ms | tok/sec: 360,514 | mfu: 3.8% | epoch: 1 | remaining: 198s    
step 00576 (34.0%) | loss: 3.520757 | lrm: 0.67 | dt: 182ms | tok/sec: 360,997 | mfu: 3.8% | epoch: 1 | remaining: 198s    
step 00577 (34.1%) | loss: 3.501299 | lrm: 0.67 | dt: 182ms | tok/sec: 359,112 | mfu: 3.8% | epoch: 1 | remaining: 198s    
step 00578 (34.1%) | loss: 3.496509 | lrm: 0.67 | dt: 182ms | tok/sec: 360,071 | mfu: 3.8% | epoch: 1 | remaining: 197s    
step 00579 (34.2%) | loss: 3.498358 | lrm: 0.66 | dt: 182ms | tok/sec: 359,950 | mfu: 3.8% | epoch: 1 | remaining: 197s    
step 00580 (34.2%) | loss: 3.502472 | lrm: 0.66 | dt: 183ms | tok/sec: 358,265 | mfu: 3.8% | epoch: 1 | remaining: 197s    
step 00581 (34.3%) | loss: 3.494391 | lrm: 0.66 | dt: 182ms | tok/sec: 359,177 | mfu: 3.8% | epoch: 1 | remaining: 197s    
step 00582 (34.4%) | loss: 3.494586 | lrm: 0.66 | dt: 184ms | tok/sec: 355,298 | mfu: 3.8% | epoch: 1 | remaining: 197s    
step 00583 (34.4%) | loss: 3.497261 | lrm: 0.66 | dt: 181ms | tok/sec: 363,000 | mfu: 3.8% | epoch: 1 | remaining: 197s    
step 00584 (34.5%) | loss: 3.501819 | lrm: 0.66 | dt: 183ms | tok/sec: 358,390 | mfu: 3.8% | epoch: 1 | remaining: 196s    
step 00585 (34.6%) | loss: 3.510848 | lrm: 0.66 | dt: 182ms | tok/sec: 360,038 | mfu: 3.8% | epoch: 1 | remaining: 196s    
step 00586 (34.6%) | loss: 3.516328 | lrm: 0.66 | dt: 182ms | tok/sec: 359,721 | mfu: 3.8% | epoch: 1 | remaining: 196s    
step 00587 (34.7%) | loss: 3.518252 | lrm: 0.66 | dt: 183ms | tok/sec: 357,816 | mfu: 3.8% | epoch: 1 | remaining: 196s    
step 00588 (34.7%) | loss: 3.512676 | lrm: 0.66 | dt: 184ms | tok/sec: 356,885 | mfu: 3.8% | epoch: 1 | remaining: 196s    
step 00589 (34.8%) | loss: 3.496960 | lrm: 0.66 | dt: 184ms | tok/sec: 357,025 | mfu: 3.8% | epoch: 1 | remaining: 195s    
step 00590 (34.9%) | loss: 3.499896 | lrm: 0.66 | dt: 180ms | tok/sec: 363,303 | mfu: 3.8% | epoch: 1 | remaining: 195s    
step 00591 (34.9%) | loss: 3.492947 | lrm: 0.66 | dt: 182ms | tok/sec: 359,195 | mfu: 3.8% | epoch: 1 | remaining: 195s    
step 00592 (35.0%) | loss: 3.492399 | lrm: 0.66 | dt: 182ms | tok/sec: 360,272 | mfu: 3.8% | epoch: 1 | remaining: 195s    
